treatment,plot,genotype,longitude,latitude,mean_temp
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491044852784,33.07518046332226,24.443170166015648
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491022580327,33.075180582338625,24.487908935546898
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.9749113394261,33.07518086797789,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490978035414,33.07518800895952,19.498803710937523
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490958547014,33.0751949357117,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.9749106712524,33.0751953641706,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490961331071,33.07518788994316,19.344628906250023
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.974909529789,33.0751822247644,21.283898925781273
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491008660042,33.075182867452746,19.490380859375023
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490980819471,33.07518317689529,18.967126464843773
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490939058615,33.07518372437054,20.339654541015648
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491097749868,33.07518381958363,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490958547014,33.075184248042525,19.834527587890648
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491117238268,33.075185295386504,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490980819471,33.075185938074846,20.130670166015648
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490947410786,33.07518722345154,18.423028564453148
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97490975251357,33.075187128238454,18.551568603515648
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491106102039,33.075188508828234,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491117238268,33.07519046069655,
border,MAC_Field_Scanner_Season_10_Range_19_Column_27,Green_Towers_BORDER,-111.97491147862895,33.07519315046629,
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497492383829,33.075994650707145,14.584863281250023
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497514646658,33.075993675205545,13.720452880859398
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497447858173,33.07599441277993,15.106225585937523
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497486818122,33.075994745878035,14.591638183593773
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497484035269,33.07599469829259,14.601251220703148
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497534126632,33.07599517414703,14.082360839843773
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497506298097,33.07599531690336,13.998468017578148
treatment 3,MAC_Field_Scanner_Season_10_Range_41_Column_15,Sucrine,-111.97497497949536,33.07599612585591,13.550866699218773
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497749264816,33.07486826791547,
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497643424144,33.07486807740511,24.025323486328148
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.9749776040594,33.07486829172927,
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.9749775762066,33.074868553681014,
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497777117626,33.074868553681014,
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497635068301,33.0748686251224,24.236627197265648
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497593289089,33.07486922046728,24.834100341796898
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497626712459,33.07486917283968,24.839318847656273
treatment 1,MAC_Field_Scanner_Season_10_Range_10_Column_15,Titan,-111.97497643424144,33.07487045878462,
